#Kegg Network https://www.kegg.jp/entry/	Kegg Pathway, https://www.kegg.jp/pathway/	Big Pathway Map Description , not the sub 619 that we intersect against
N01579	hsa04660+N01579	T cell receptor signaling pathway
N01696	hsa04660+N01696	T cell receptor signaling pathway
N01635	hsa00900+N01635	Terpenoid backbone biosynthesis
N00063	hsa04350+N00063	TGF-beta signaling pathway
N01426	hsa04350+N01426	TGF-beta signaling pathway
N01428	hsa04350+N01428	TGF-beta signaling pathway
N01453	hsa04350+N01453	TGF-beta signaling pathway
N01454	hsa04350+N01454	TGF-beta signaling pathway
N01455	hsa04350+N01455	TGF-beta signaling pathway
N01456	hsa04350+N01456	TGF-beta signaling pathway
N01457	hsa04350+N01457	TGF-beta signaling pathway
N01458	hsa04350+N01458	TGF-beta signaling pathway
N01459	hsa04350+N01459	TGF-beta signaling pathway
N01460	hsa04350+N01460	TGF-beta signaling pathway
N01688	hsa04714+N01688	Thermogenesis
N01691	hsa04714+N01691	Thermogenesis
N00008	hsa05216+N00008	Thyroid cancer
N00009	hsa05216+N00009	Thyroid cancer
N00012	hsa05216+N00012	Thyroid cancer
N00061	hsa05216+N00061	Thyroid cancer
N00115	hsa05216+N00115	Thyroid cancer
N00798	hsa04919+N00798	Thyroid hormone signaling pathway
N00782	hsa04918+N00782	Thyroid hormone synthesis
N00793	hsa04918+N00793	Thyroid hormone synthesis
N01287	hsa04530+N01287	Tight junction
N00145	hsa04668+N00145	TNF signaling pathway
N00151	hsa04668+N00151	TNF signaling pathway
N00444	hsa04668+N00444	TNF signaling pathway
N00446	hsa04668+N00446	TNF signaling pathway
N00148	hsa04620+N00148	Toll-like receptor signaling pathway
N00149	hsa04620+N00149	Toll-like receptor signaling pathway
N00150	hsa04620+N00150	Toll-like receptor signaling pathway
N00435	hsa04620+N00435	Toll-like receptor signaling pathway
N00438	hsa04620+N00438	Toll-like receptor signaling pathway
N00553	hsa04620+N00553	Toll-like receptor signaling pathway
N00563	hsa04620+N00563	Toll-like receptor signaling pathway
N00690	hsa04620+N00690	Toll-like receptor signaling pathway
N01543	hsa04620+N01543	Toll-like receptor signaling pathway
N01566	hsa04620+N01566	Toll-like receptor signaling pathway
N01551	hsa00380+N01551	Tryptophan metabolism
N01723	hsa00380+N01723	Tryptophan metabolism
N00708	hsa00350+N00708	Tyrosine metabolism
N00851	hsa00280+N00851	Valine, leucine and isoleucine degradation
N00852	hsa00280+N00852	Valine, leucine and isoleucine degradation
N00856	hsa00280+N00856	Valine, leucine and isoleucine degradation
N00915	hsa04962+N00915	Vasopressin-regulated water reabsorption
N00491	hsa04061+N00491	Viral protein interaction with cytokine and cytokine receptor
N00560	hsa04061+N00560	Viral protein interaction with cytokine and cytokine receptor
N00056	hsa04310+N00056	Wnt signaling pathway
N01427	hsa04310+N01427	Wnt signaling pathway
N01440	hsa04310+N01440	Wnt signaling pathway
N01441	hsa04310+N01441	Wnt signaling pathway
N01442	hsa04310+N01442	Wnt signaling pathway
N01443	hsa04310+N01443	Wnt signaling pathway
N00862	hsa05135+N00862	Yersinia infection
N01338	NADA	NADA
N01343	NADA	NADA
N01586	NADA	NADA
N01614	NADA	NADA
N00994	NADA	NADA
N00317	NADA	NADA
N01306	NADA	NADA
N00978	NADA	NADA
N01297	NADA	NADA
N01066	NADA	NADA
N01476	NADA	NADA
N01719	NADA	NADA
N01463	NADA	NADA
N01620	NADA	NADA
N01461	NADA	NADA
N01549	NADA	NADA
N01450	NADA	NADA
N01649	NADA	NADA
N00538	NADA	NADA
N01531	NADA	NADA
N01336	NADA	NADA
N01485	NADA	NADA
N01497	NADA	NADA
N01293	NADA	NADA
N01536	NADA	NADA
N01585	NADA	NADA
N01473	NADA	NADA
N01534	NADA	NADA
N01078	NADA	NADA
N01484	NADA	NADA
N01577	NADA	NADA
N01501	NADA	NADA
N01070	NADA	NADA
N01072	NADA	NADA
N00951	NADA	NADA
N00243	NADA	NADA
N01547	NADA	NADA
N01535	NADA	NADA
N01502	NADA	NADA
N01315	NADA	NADA
N01636	NADA	NADA
N00408	NADA	NADA
N01104	NADA	NADA
N01356	NADA	NADA
N01561	NADA	NADA
N01562	NADA	NADA
N01544	NADA	NADA
N01285	NADA	NADA
N01499	NADA	NADA
N01479	NADA	NADA
N01481	NADA	NADA
N01525	NADA	NADA
N01526	NADA	NADA
N01358	NADA	NADA
N01360	NADA	NADA
N01542	NADA	NADA
N00571	NADA	NADA
N01204	NADA	NADA
N00879	NADA	NADA
N01553	NADA	NADA
N01596	NADA	NADA
N01599	NADA	NADA
N01545	NADA	NADA
N00963	NADA	NADA
N00976	NADA	NADA
N00882	NADA	NADA
N01477	NADA	NADA
N01300	NADA	NADA
N01474	NADA	NADA
N01701	NADA	NADA
N01317	NADA	NADA
N01291	NADA	NADA
N00918	NADA	NADA
N00131	NADA	NADA
N00132	NADA	NADA
N00123	NADA	NADA
N00298	NADA	NADA
N00465	NADA	NADA
N00137	NADA	NADA
N00125	NADA	NADA
N00119	NADA	NADA
N00120	NADA	NADA
N00302	NADA	NADA
N00303	NADA	NADA
N01065	NADA	NADA
N00304	NADA	NADA
N00305	NADA	NADA
N00877	NADA	NADA
N00876	NADA	NADA
N00880	NADA	NADA
N00881	NADA	NADA
N00118	NADA	NADA
N00128	NADA	NADA
